,code,type,company
485,C-FYKR,L2J,Air Canada
486,C-FYMM,L2J,Syncrude Canada Ltd
487,C-FYMQ,L2T,Bombardier Inc.
488,C-FYNS,L2J,Air Canada Rouge Lp
489,C-FYQB,H2T,Bell Helicopter Textron Canada Limitée/ Bell Helicopter Textron Canada Limited
490,C-FYTZ,L2J,Image Air Charter Ltd.
491,C-FYUT,L1T,9736140 Canada Inc. - Pascan
492,C-FZJA,L2J,Jazz Aviation Lp
493,C-FZQS,L2J,Air Canada
494,C-FZRM,L2J,Westjet
495,C-FZUB,L2J,Air Canada
496,C-FZUG,L2J,Air Canada Rouge Lp
497,C-GAAS,L2J,Airsprint Inc.
498,C-GAAU,L2T,Air Georgian Limited
499,C-GAEW,L2T,Voyageur Airways Limited
500,C-GAGE,L2T,126700 Aircraft Canada Inc.
501,C-GAIG,L2J,Air Inuit Ltd. Air Inuit Ltee
502,C-GAIS,L2T,Air Creebec Inc.
503,C-GAJS,L2J,650584 Alberta Inc
504,C-GAMQ,L2J,Westjet
505,C-GAPY,L2J,Air Canada
506,C-GARJ,L2J,Air Canada Rouge Lp
507,C-GARO,L2J,Air Canada Rouge Lp
508,C-GASL,L2J,Airsprint Inc.
509,C-GASR,L2J,Airsprint Inc.
510,C-GATM,H1P,3457265 Canada Inc.
511,C-GAWP,L1T,9736140 Canada Inc. - Pascan
512,C-GAWR,L2J,I.M.P. Group Limited (Execaire)
513,C-GAWS,L2J,Westjet
514,C-GAYX,H1T,Canadian Helicopters Limited - Hélicoptères Canadiens Limitée
515,C-GBAP,L1T,Bell Helicopter Textron Canada Limitée/ Bell Helicopter Textron Canada Limited
516,C-GBDB,H1T,Groupe Geyser - Elivation Inc. / Elivation - Geyser Group Inc.
517,C-GBFY,L1P,Brampton Flying Club
518,C-GBHN,L2J,Air Canada
519,C-GBHO,L2J,Air Canada Rouge Lp
520,C-GBHR,L2J,Air Canada Rouge Lp
521,C-GBHY,L2J,Air Canada Rouge Lp
522,C-GBHZ,L2J,Air Canada Rouge Lp
523,C-GBIA,L2J,Air Canada
524,C-GBIJ,L2J,Air Canada Rouge Lp
525,C-GBIK,L2J,Air Canada
526,C-GBIM,L2J,Air Canada Rouge Lp
527,C-GBIN,L2J,Air Canada Rouge Lp
528,C-GBIS,L1P,Rambus Management Inc
529,C-GBJZ,L2T,Jazz Aviation Lp
530,C-GBOQ,H1P,Bell Helicopter Textron Canada Limitée/ Bell Helicopter Textron Canada Limited
531,C-GBZS,L2J,Sunwing Airlines Inc.
532,C-GCAM,L2J,Westjet
533,C-GCAQ,L2T,Aviation Starlink Inc.
534,C-GCCZ,L1P,Jason Macbean
535,C-GCDS,L2J,I.M.P. Group Limited (Execaire)
536,C-GCFJ,L2T,"Government Of Canada, Department Of Transport"
537,C-GCFR,L4T,"Government Of Canada, Department Of Transport"
538,C-GCGA,L1T,Cameron Air Service Ltd
539,C-GCGP,H2T,"Government Of Canada, Department Of Transport"
540,C-GCGQ,H2T,"Government Of Canada, Department Of Transport"
541,C-GCGS,L2J,Fast Air Ltd.
542,C-GCHI,H1T,9453-2322 Québec Inc.
