,airport,lon,lat,coutry,sub
245,KSMQ,-74.6700316111111,40.6259806388889,US,New Jersey
246, CSR3,,,,
247,KFSO,-73.0974722222222,44.9402777777778,US,Vermont
248,CYGM,-97.043296814,50.6281013489,CA,Manitoba
249,KHUF,-87.30699,39.4506319444444,US,Indiana
250,LOWW,16.5697002411,48.1102981567,AT,Lower-Austria
251,ID27,-116.859361111111,47.7554591666667,US,Idaho
252,KTYQ,-86.2514444444444,40.0306666666667,US,Indiana
253,LS76,-90.1700794444445,30.4626925,US,Louisiana
254,5GA4,-84.4485397222222,34.1059313888889,US,Georgia
255,6NY1,-77.0894141666667,42.1128516666667,US,New York
256,MMCZ,-86.9255981445,20.5223999023,MX,Quintana Roo
257,K7B2,-72.6112402777778,42.3280097222222,US,Massachusetts
258,CYPT,-82.6780014038,41.7803993225,CA,Ontario
259,KPVG,-76.4512803611111,36.7807648055556,US,Virginia
260,LIBD,16.7605991364,41.1389007568,IT,Apulia
261,2MI5,-85.4864113888889,42.9416963888889,US,Michigan
262,CYXT,-128.5760040283,54.46849823,CA,British Columbia
263,KMZJ,-111.325333333333,32.5098333333333,US,Arizona
264,KVNY,-118.489972222222,34.2098055555556,US,California
265,KHHR,-118.335083333333,33.9228611111111,US,California
266,KHSV,-86.7750541666667,34.6371969444444,US,Alabama
267,KDAW,-70.9295495,43.2842348333333,US,New Hampshire
268,4TX8,-97.2239052777778,33.2487291666667,US,Texas
269,82OH,,,,
270,53IN,-86.2149947222222,40.5214269444444,US,Indiana
271,CYCK,-82.0819015503,42.3064002991,CA,Ontario
272,LSZH,8.5491695404,47.4646987915,CH,Zurich
273,KSFM,-70.708,43.3938055555556,US,Maine
274,3NY5,,,,
275, CYRQ,,,,
276,CPR2,-75.2985992432,45.2411003113,CA,Ontario
277,CPF6,-79.7094154358,43.1696925259,CA,Ontario
278,IG07,-85.0355555555555,39.0569444444444,US,Indiana
279,CJB2,-98.0186004639,49.4914016724,CA,Manitoba
280,KRUT,-72.9496261111111,43.5297302777778,US,Vermont
281,KMKE,-87.8970644444445,42.9469319444444,US,Wisconsin
282,KESN,-76.0689902777778,38.80416,US,Maryland
283,VT30,-72.8340036111111,44.1625594444444,US,Vermont
284,CTK6,-61.2658004761,50.1958007813,CA,Quebec
285,CYGV,-63.6114006042,50.2818984985,CA,Quebec
286,K63B,-70.6724722222222,43.7630277777778,US,Maine
287,K3MY,-89.6134722222222,40.7958055555556,US,Illinois
288,FA18,-81.0202777777778,26.4441666666667,US,Florida
289,KACK,-70.0599114166667,41.2529750555556,US,Massachusetts
290,39MN,,,,
291,CYQG,-82.9555969238,42.2756004333,CA,Ontario
292,CDA4,-64.8824996948,47.7164001465,CA,New Brunswick
293,ESSA,17.9186000824,59.6519012451,SE,Stockholm
294,MMHO,-111.047996521,29.0958995819,MX,Sonora
295,IN60,-86.1602675,40.0178152777778,US,Indiana
296,CYOO,-78.8949966431,43.9227981567,CA,Ontario
297,LFHJ,4.9136099815,45.6542015076,FR,Auvergne-Rhone-Alpes
298,KABQ,-106.608262166667,35.0389315555556,US,New Mexico
299,CCV4,-52.9832992554,47.6333007813,CA,Newfoundland and Labrador
300,KAVL,-82.5420475,35.4361130555556,US,North Carolina
301,KCWA,-89.6667780277778,44.7776236666667,US,Wisconsin
302,CWB2,,,,
303,CES2,-73.6723959446,45.914399704,CA,Quebec
304,8MI0,,,,
305,LIRP,10.3927001953,43.6838989258,IT,Tuscany
306,NK79,-74.5330555555555,41.4066666666667,US,New York
307,FD38,-80.2950666666667,26.6467083333333,US,Florida
308,CYYB,-79.4227981567,46.3636016846,CA,Ontario
309, KMDW,,,,
310,SPJC,-77.1143035889,-12.021900177,PE,Callao
311,MDAN,-70.2216033936,19.1315994263,DO,Sanchez-Ramirez
312,KMAL,-74.3289444444444,44.8536666666667,US,New York
313,ME26,-69.5338194444444,46.0195861111111,US,Maine
314,KOPF,-80.2782222222222,25.9074166666667,US,Florida
315,CYQY,-60.0477981567,46.1613998413,CA,Nova Scotia
316,KISM,-81.4370813888889,28.2898069444444,US,Florida
317,15NC,-76.9738888888889,36.2397222222222,US,North Carolina
318,EGKR,-0.1386110038,51.2136001587,GB,England
319,17FA,-81.5353558333333,26.7134011111111,US,Florida
320,VT25,-73.1662369444444,44.4167172222222,US,Vermont
321,1VA5,,,,
322,NK01,-75.604915,43.9995122222222,US,New York
323,LHKE,19.7492008209,46.9174995422,HU,Bacs-Kiskun
324,KPTD,-74.9484444444444,44.6766666666667,US,New York
325,KRYY,-84.5970277777778,34.0131666666667,US,Georgia
326,OJAI,35.9931983948,31.7226009369,JO,Amman
327,CSU7,-72.6258010864,46.6166992188,CA,Quebec
328,CRL2,-76.3966673613,44.6666651766,CA,Ontario
329,OJAM,35.9916000366,31.972700119,JO,Amman
330,4IL3,-89.2284391666667,42.1428019444444,US,Illinois
331,KBKV,-82.4554166666667,28.4736111111111,US,Florida
332,MY98,,,,
333,9II2,,,,
334,KN52,-80.7479833333333,34.8638166666667,US,North Carolina
335,0MI4,-87.3865283333333,46.2702227777778,US,Michigan
336,OI62,-81.3170525,41.4764411111111,US,Ohio
337,VT39,,,,
338,9MI2,-83.307625,41.98785,US,Michigan
339,CTA3,-70.3843994141,47.3894004822,CA,Quebec
340,CHF2,-75.7086029053,45.1906013489,CA,Ontario
341,KGPI,-114.256,48.3105,US,Montana
342,4VA9,-77.9205508333333,38.5690116666667,US,Virginia
343,KTOL,-83.8078266666667,41.5868166666667,US,Ohio
344,EGNX,-1.3280600309,52.8311004639,GB,England
345,4GE2,,,,
346,CSZ4,-70.9633026123,46.331401825,CA,Quebec
347,KBUR,-118.358666666667,34.2006944444444,US,California
348,KMQY,-86.5200897222222,36.0089702777778,US,Tennessee
349,KPWK,-87.9015408333333,42.1142794444444,US,Illinois
350,KCGF,-81.4872222222222,41.5645833333333,US,Ohio
351,SKBO,-74.1469,4.70159,CO,Bogota-D-C-
352,CYSC,-71.6913986206,45.4385986328,CA,Quebec
353,LFLL,5.0908298492,45.726398468,FR,Auvergne-Rhone-Alpes
354,MA52,-71.4701333333333,42.4380583333333,US,Massachusetts
355,CCS5,-65.301902771,45.9864006042,CA,New Brunswick
356,07KY,-85.6932925,38.0806225,US,Kentucky
357,VOBL,77.7062988281,13.1978998184,IN,Karnataka
358,KJHW,-79.2580230555556,42.1533938888889,US,New York
359,KJWN,-86.8864953333333,36.1830218333333,US,Tennessee
360,KLRD,-99.4615833333333,27.5441944444444,US,Texas
361,CYGK,-76.5969009399,44.2252998352,CA,Ontario
362,KJAX,-81.6878466666667,30.4940455555556,US,Florida
363,OH07,-81.2389930555556,40.9439469444444,US,Ohio
364,KUES,-88.2370555555556,43.0410277777778,US,Wisconsin
365,KRAC,-87.8139166666667,42.7611666666667,US,Wisconsin
366,KGTB,-75.7198944444444,44.0556111111111,US,New York
367,KBOS,-71.0063888888889,42.3629444444444,US,Massachusetts
368,KJYO,-77.5575,39.0779722222222,US,Virginia
369,EGLM,-0.774443984,51.5008010864,GB,
370,PAED,-149.806525666667,61.2513531944444,US,Alaska
371,CYRP,-76.0222015381,45.3191986084,CA,Ontario
372,KBVY,-70.9161388888889,42.5841388888889,US,Massachusetts
373,EBCI,4.4538202286,50.4592018127,BE,Wallonia
374,FA54,-82.2526027777778,26.8537416666667,US,Florida
375,KVVS,-79.6574166666667,39.9590555555556,US,Pennsylvania
376,95FD,-81.5388888888889,26.7683333333333,US,Florida
377,KDKK,-79.2711111111111,42.4939444444444,US,New York
378,KSCH,-73.9295644444445,42.8527183333333,US,New York
379,CYPN,-64.2885971069,49.8363990784,CA,Quebec
380,CAA2,-75.0758333333,45.7463888889,CA,Quebec
381,CPF4,-76.8332977295,45.5950012207,CA,Ontario
382,40FL,-81.8709416666667,26.9525805555556,US,Florida
