,airportIn,airportOut,company,number
490,CYUL,CTR6,Sunwing Airlines Inc.,22
491,CYUL,KDCA,Air Georgian Limited,43
492,CYJN,CZBM,Others,22
493,CYUL,CYKZ,Aviation Starlink Inc.,22
494,CZBM,CYSC,Others,21
495,CYUL,CYOW,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,21
496,CYMX,CYFJ,Others,21
497,CYGK,CYUL,Others,21
498,CYUL,CYUY,Air Georgian Limited,21
499,CYKZ,CYUL,Others,21
501,CYUL,KJFK,Others,35
502,CYHU,KALB,Others,28
503,CYUL,LPAR,Others,21
504,CYVR,CYQB,Air Canada Rouge Lp,21
505,CYQB,CYUL,Others,21
506,CYUL,KPTK,Others,28
507,CSC3,CSR3,Others,21
508,CYUL,CSR3,Others,25
509,CYUL,CYYZ,Air Canada Rouge Lp,21
510,CZBM,CYJN,Others,21
511,CYUL,KHHR,Air Canada,21
512,CYUL,CYQB,Air Transat A T Inc.,21
513,CYUL,LIMC,Others,40
514,CSA2,CSY4,Others,20
515,CSC3,CYSC,Others,20
516,CYMX,CZBM,Others,20
517,CYJN,CYHU,Others,20
518,CYKZ,CYND,Others,20
519,CYHZ,CYHU,Others,20
520,CYMX,05IN,Others,20
521,CNV9,KORD,Others,20
522,CYUL,LSGG,Others,39
523,CYUL,KORD,Bank Of Utah Trustee,35
524,CYUL,CYXE,Jazz Aviation Lp,20
525,CYUL,KNZY,Air Canada,22
526,CYUL,LSZM,Air Transat A T Inc.,40
527,CYUL,KDCA,Others,32
528,CYUL,CNV9,Aviation Starlink Inc.,20
529,CNV9,CYOW,Others,20
530,CYSC,CSC3,Others,20
531,CYMX,CSY4,Others,20
532,CYYC,CTR6,Air Canada Rouge Lp,20
533,CYUL,KCMH,Others,37
534,CYUL,KIAD,Bank Of Utah Trustee,38
535,CYUL,CTR6,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,20
536,CYUL,KAPA,Others,32
537,CYUL,KVNY,Others,23
538,CSB3,CYHU,Others,20
539,CYUL,VT15,Others,28
540,CYUL,CYYT,Air Canada,19
541,CSC3,CYND,Others,19
542,CSY3,CSA2,Others,19
543,CYKF,CYUL,Flair Airlines Ltd,19
544,CSG3,CYMX,Others,19
545,CYUL,KBOS,Jazz Aviation Lp,37
546,CYUL,CTE5,Others,19
547,CYYZ,CYUL,Air Canada Rouge Lp,19
548,CPR2,CST3,Others,19
549,CYUL,CCF4,Others,19
550,CYUL,CYFJ,Others,19
551,CNV9,CYMX,Others,19
552,CSB3,CSC3,Others,19
553,CYUL,LPAR,Air Canada,19
554,CSJ4,CYHU,Others,19
555,CSU3,CYHU,Others,19
