,airline,duration,departureTime,flightRange,count
209,AVIATION STARLINK INC.,long,matin,International,10
210,WESTJET,court,après-midi,Canada,6
211,AIRSPRINT INC.,moyen,après-midi,International,32
212,SUNWING AIRLINES INC.,court,soire,Canada,25
213,AIRSPRINT INC.,moyen,matin,International,39
214,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,long,soire,International,6
215,BANK OF UTAH TRUSTEE,moyen,nuit,International,78
216,AIR GEORGIAN LIMITED,court,matin,Quebec,34
217,BANK OF UTAH TRUSTEE,moyen,soire,International,58
218,BANK OF UTAH TRUSTEE,court,nuit,International,118
219,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,matin,Canada,136
220,AVIATION STARLINK INC.,moyen,matin,International,16
221,AIR GEORGIAN LIMITED,court,après-midi,Quebec,33
222,BANK OF UTAH TRUSTEE,long,soire,Canada,4
223,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,nuit,Canada,16
224,SUNWING AIRLINES INC.,long,matin,International,8
225,AIR CANADA,long,après-midi,Quebec,45
226,JAZZ AVIATION LP,moyen,matin,International,63
227,AIR CANADA,court,après-midi,Quebec,481
228,SUNWING AIRLINES INC.,long,après-midi,Quebec,8
229,AIRSPRINT INC.,court,après-midi,Quebec,19
230,AIRSPRINT INC.,moyen,soire,International,6
231,OTHERS,long,matin,Canada,15
232,AIR FRANCE,court,soire,International,7
233,AVIATION STARLINK INC.,long,nuit,International,4
234,AIR CANADA,court,matin,Quebec,639
235,AIRSPRINT INC.,long,après-midi,Canada,1
236,AIR CANADA,court,soire,Quebec,258
237,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,soire,Canada,4
238,AIR GEORGIAN LIMITED,court,soire,Quebec,18
239,AIR TRANSAT,long,matin,Canada,1
240,AVIATION STARLINK INC.,court,nuit,International,34
241,AIR TRANSAT,court,matin,Canada,12
242,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,matin,Quebec,39
243,SUNWING AIRLINES INC.,court,après-midi,Canada,17
244,BANK OF UTAH TRUSTEE,long,après-midi,International,3
245,WESTJET ENCORE LTD.,court,nuit,Canada,109
246,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,nuit,International,28
247,BANK OF UTAH TRUSTEE,court,nuit,Canada,91
248,SUNWING AIRLINES INC.,moyen,matin,Canada,3
249,AIR GEORGIAN LIMITED,long,matin,International,2
250,AIRSPRINT INC.,moyen,après-midi,Quebec,3
251,SUNWING AIRLINES INC.,long,après-midi,International,5
252,BANK OF UTAH TRUSTEE,moyen,après-midi,International,91
253,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,long,nuit,International,5
254,AIR CANADA,court,nuit,Quebec,248
255,OTHERS,moyen,matin,Canada,109
256,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,après-midi,Quebec,29
257,JAZZ AVIATION LP,moyen,soire,Quebec,2
258,AIRSPRINT INC.,court,matin,Quebec,8
259,FLAIR AIRLINE,court,matin,International,23
260,AIR TRANSAT,court,soire,Quebec,17
261,JAZZ AVIATION LP,moyen,nuit,International,1
262,BANK OF UTAH TRUSTEE,court,après-midi,Canada,24
263,BANK OF UTAH TRUSTEE,court,matin,Quebec,17
264,CARGOJET AIRWAYS LTD.,court,après-midi,Canada,16
265,AVIATION STARLINK INC.,moyen,soire,International,7
266,BANK OF UTAH TRUSTEE,court,soire,Canada,7
267,JAZZ AVIATION LP,moyen,matin,Canada,24
268,BANK OF UTAH TRUSTEE,long,nuit,International,4
269,AVIATION STARLINK INC.,court,matin,Quebec,31
270,AIRSPRINT INC.,court,soire,Quebec,12
271,PORTER AIRLINES INC.,moyen,après-midi,Quebec,2
272,FLAIR AIRLINE,court,après-midi,Quebec,88
273,SUNWING AIRLINES INC.,long,après-midi,Canada,15
274,PORTER AIRLINES INC.,court,après-midi,Quebec,124
275,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,soire,Quebec,26
276,AIR TRANSAT,long,après-midi,International,43
277,CARGOJET AIRWAYS LTD.,court,soire,Quebec,25
278,AVIATION STARLINK INC.,court,soire,Quebec,9
279,WESTJET,court,soire,Canada,11
280,OTHERS,long,soire,Canada,9
281,AVIATION STARLINK INC.,court,nuit,Canada,19
282,AIR FRANCE,court,nuit,International,1
283,CARGOJET AIRWAYS LTD.,long,nuit,International,2
284,AIR CANADA,long,soire,Canada,2
285,AIR FRANCE,court,soire,Canada,1
286,CARGOJET AIRWAYS LTD.,court,nuit,Quebec,8
287,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,soire,Canada,9
288,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,long,après-midi,International,13
289,AVIATION STARLINK INC.,long,après-midi,International,2
290,WESTJET,court,nuit,International,1
291,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,après-midi,Quebec,2
292,AIR CANADA,long,après-midi,Canada,9
293,JAZZ AVIATION LP,moyen,soire,Canada,5
294,AIR TRANSAT,court,nuit,Canada,25
295,AIR GEORGIAN LIMITED,court,nuit,Quebec,14
296,CARGOJET AIRWAYS LTD.,moyen,soire,International,1
297,AVIATION STARLINK INC.,long,soire,International,1
298,BANK OF UTAH TRUSTEE,court,matin,Canada,11
299,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,soire,Quebec,16
300,AMERICAN AIRLINES INC,moyen,matin,International,33
301,FLAIR AIRLINE,court,soire,Quebec,3
302,WESTJET,moyen,soire,International,4
303,WESTJET,court,après-midi,Quebec,1
304,BANK OF UTAH TRUSTEE,long,nuit,Canada,1
305,AIR GEORGIAN LIMITED,moyen,matin,Canada,1
306,PORTER AIRLINES INC.,moyen,matin,Canada,1
307,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,nuit,International,6
308,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,matin,Quebec,2
309,SUNWING AIRLINES INC.,court,soire,Quebec,2
310,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,matin,Quebec,4
311,FLAIR AIRLINE,moyen,matin,International,42
312,FLAIR AIRLINE,court,matin,Quebec,80
313,CARGOJET AIRWAYS LTD.,long,après-midi,International,2
314,OTHERS,long,après-midi,Canada,5
315,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,après-midi,Canada,7
316,WELLS FARGO TRUST CO NA TRUSTEE,moyen,soire,International,13
317,WELLS FARGO TRUST CO NA TRUSTEE,moyen,matin,International,37
318,AIR TRANSAT,court,matin,Quebec,4
319,BANK OF UTAH TRUSTEE,moyen,après-midi,Canada,2
320,PORTER AIRLINES INC.,court,matin,Quebec,296
321,AMERICAN AIRLINES INC,moyen,soire,International,20
322,AIRSPRINT INC.,long,matin,International,2
323,WESTJET ENCORE LTD.,moyen,après-midi,Canada,1
324,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,soire,Quebec,3
325,PORTER AIRLINES INC.,court,soire,Quebec,176
326,AIR GEORGIAN LIMITED,moyen,matin,International,5
327,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,après-midi,International,408
328,AVIATION STARLINK INC.,moyen,après-midi,Quebec,4
329,BANK OF UTAH TRUSTEE,long,soire,International,6
330,WESTJET,moyen,après-midi,International,2
331,CARGOJET AIRWAYS LTD.,court,après-midi,Quebec,14
332,CARGOJET AIRWAYS LTD.,court,matin,Quebec,1
333,CARGOJET AIRWAYS LTD.,moyen,après-midi,International,4
334,CARGOJET AIRWAYS LTD.,moyen,nuit,Quebec,1
335,AIR CANADA,long,nuit,Quebec,7
336,AIR GEORGIAN LIMITED,moyen,après-midi,Quebec,1
337,AIR GEORGIAN LIMITED,moyen,soire,Quebec,1
338,AIRSPRINT INC.,long,après-midi,International,1
339,PORTER AIRLINES INC.,court,nuit,Quebec,6
340,AIR TRANSAT,long,soire,Quebec,2
341,AMERICAN AIRLINES INC,moyen,nuit,International,2
342,BANK OF UTAH TRUSTEE,long,matin,Canada,1
343,CARGOJET AIRWAYS LTD.,long,soire,International,1
