,airportIn,airportOut,company,number
935,CSE4,CAA2,OTHERS,8
937,CYRO,CSZ3,OTHERS,8
939,CYUL,CST7,OTHERS,8
940,CYUL,CCF4,FLAIR AIRLINE,8
941,CNV9,CSJ5,OTHERS,8
942,CSZ3,CYRO,OTHERS,8
943,CYRO,CYUL,OTHERS,8
945,CYUL,CYSN,OTHERS,8
946,CSA2,CSE3,OTHERS,8
950,CYMX,CSC3,OTHERS,8
951,CYYT,CYUL,AIR CANADA,8
952,CYHU,CSS4,OTHERS,8
953,CYHU,CYKF,OTHERS,8
954,CYQB,CYYZ,OTHERS,8
955,CSJ5,CSC3,OTHERS,8
956,CSA2,CSC3,OTHERS,8
958,CYUL,CYCH,OTHERS,8
959,CYND,CPR2,OTHERS,8
960,CZBA,CYHU,OTHERS,8
962,CZBM,CSH5,OTHERS,8
964,CYUY,CYYZ,AIR GEORGIAN LIMITED,8
